day,period,subject,teacher,room,is_substituted,substitute_teacher,substitute_room
Monday,1,การสร้างเกมคอมพิวเตอร์,อ.ธีรภาพ,1503,,,
Monday,2,โปรแกรมนำเสนอ,อ.ประภวิษณ์,1503,,,
Monday,3,เทคโนโลยีการนำเข้าข้อมูลสู่ระบบคอมพิวเตอร์,อ.ณัฐธิดา,1503,,,
Monday,4,โปรแกรมนำเสนอ,อ.ประภวิษณ์,1406,,,
Monday,5,พักกลางวัน,,,,,
Monday,6,โฮมรูม (HR),,,,,
Tuesday,1,เทคโนโลยีการนำเข้าข้อมูลสู่ระบบคอมพิวเตอร์,อ.ณัฐธิดา,1507,,,
Tuesday,2,เทคโนโลยีการนำเข้าข้อมูลสู่ระบบคอมพิวเตอร์,อ.ณัฐธิดา,1507,,,
Tuesday,3,การออกแบบกราฟิกสิ่งพิมพ์ดิจิทัล,อ.ธีรภาพ,1509,,,
Tuesday,4,การออกแบบกราฟิกสิ่งพิมพ์ดิจิทัล,อ.ธีรภาพ,1509,,,
Tuesday,5,พักกลางวัน,,,,,
Tuesday,6,โฮมรูม (HR),,,,,
Wednesday,1,การออกแบบกราฟิกสิ่งพิมพ์ดิจิทัล,อ.ธีรภาพ,1503,,,
Wednesday,2,เทคโนโลยีการนำเข้าข้อมูลสู่ระบบคอมพิวเตอร์,อ.ณัฐธิดา,1503,,,
Wednesday,3,การติดตั้งระบบเครือข่ายคอมพิวเตอร์เบื้องต้น,อ.ทนงศักดิ์,1506,,,
Wednesday,4,การติดตั้งระบบเครือข่ายคอมพิวเตอร์เบื้องต้น,อ.ทนงศักดิ์,1506,,,
Wednesday,5,พักกลางวัน,,,,,
Wednesday,6,โฮมรูม (HR),,,,,
Thursday,1,โปรแกรมนำเสนอ,อ.ประภวิษณ์,1408,,,
Thursday,2,โปรแกรมนำเสนอ,อ.ประภวิษณ์,1408,,,
Thursday,3,โครงงานด้านเทคโนโลยีสารสนเทศ,อ.ทนงศักดิ์,1503,,,
Thursday,4,โครงงานด้านเทคโนโลยีสารสนเทศ,อ.ทนงศักดิ์,1503,,,
Thursday,5,พักกลางวัน,,,,,
Thursday,6,กิจกรรมชมรม,,,,,
Thursday,7,การสร้างเกมคอมพิวเตอร์,ช.3/6,1509,,,
Thursday,8,การสร้างเกมคอมพิวเตอร์,ช.3/6,1509,,,
Friday,1,การออกแบบกราฟิกสิ่งพิมพ์ดิจิทัล,อ.ธีรภาพ,1408,,,
Friday,2,การออกแบบกราฟิกสิ่งพิมพ์ดิจิทัล,อ.ธีรภาพ,1408,,,
Friday,3,การติดตั้งระบบเครือข่ายคอมพิวเตอร์เบื้องต้น,อ.ทนงศักดิ์,1506,,,
Friday,4,การติดตั้งระบบเครือข่ายคอมพิวเตอร์เบื้องต้น,อ.ทนงศักดิ์,1506,,,
Friday,5,พักกลางวัน,,,,,
Friday,6,โฮมรูม (HR),,,,,
Friday,7,การสร้างเกมคอมพิวเตอร์,ช.3/6,1509,,,
Friday,8,การสร้างเกมคอมพิวเตอร์,ช.3/6,1509,,,
